title,author,year,journal,primary_domain,trend_topics,collections,canonical_old_path,source_txt,source_pdf,duplicate_count,warning
AIGC版权判定的认知经济性分析,蒋舸,2025,社会科学文摘,知识产权—著作权法,AIGC可版权性、创作行为与作者认定；著作权作品、独创性与表达边界,清华知产,papers/AIGC版权判定的认知经济性分析_蒋舸.md,txt/AIGC版权判定的认知经济性分析_蒋舸.txt,data/AIGC版权判定的认知经济性分析_蒋舸.pdf,1,
AI声音权益的法律性质与保护路径,汪倪杰,2026,未知,数据法、个人信息与算法治理,个人信息权利与平台治理,著作权法近两年,专题/著作权法近两年/papers/AI声音权益的法律性质与保护路径_汪倪杰.md,txt/AI声音权益的法律性质与保护路径_汪倪杰.txt,data/AI声音权益的法律性质与保护路径_汪倪杰.pdf,1,
AI大模型训练数据的版权风险与治理路径,黄孟苏,2025,湖北大学学报(哲学社会科学版),知识产权—著作权法,大模型训练数据的复制权、合理使用与许可；著作权限制、例外与合理使用,著作权法近两年,专题/著作权法近两年/papers/AI大模型训练数据的版权风险与治理路径_黄孟苏.md,txt/AI大模型训练数据的版权风险与治理路径_黄孟苏.txt,data/AI大模型训练数据的版权风险与治理路径_黄孟苏.pdf,1,
AI提示词保护的理论构想与路径选择,杜维娜,2026,河北法学,知产相关反不正当竞争,AIGC可版权性、创作行为与作者认定；商业秘密保护与合理获取,著作权法近两年,专题/著作权法近两年/papers/AI提示词保护的理论构想与路径选择_杜维娜.md,txt/AI提示词保护的理论构想与路径选择_杜维娜.txt,data/AI提示词保护的理论构想与路径选择_杜维娜.pdf,1,
ChatGPT生成的内容受著作权法保护吗？,王迁,2023,圆桌,知识产权—著作权法,AIGC可版权性、创作行为与作者认定；著作权作品、独创性与表达边界,华政王迁,papers/ChatGPT生成的内容受著作权法保护吗_王迁.md,txt/ChatGPT生成的内容受著作权法保护吗__王迁.txt,data/ChatGPT生成的内容受著作权法保护吗__王迁.pdf,2,原文未见单独列出的摘要和关键词；以下原文摘要处据文章开头问题意识概括，关键词不作推断。
三论人工智能生成的内容在著作权法中的定位,王迁,2024,法商研究,知识产权—著作权法,AIGC可版权性、创作行为与作者认定；著作权作品、独创性与表达边界,华政王迁,papers/三论人工智能生成的内容在著作权法中的定位_王迁.md,txt/三论人工智能生成的内容在著作权法中的定位_王迁.txt,data/三论人工智能生成的内容在著作权法中的定位_王迁.pdf,1,
专利侵权损害赔偿规则的标准、困境与重构,边仁君,2021,知识产权,专利法,专利侵权、救济与非实施主体；知识产权救济与损害赔偿,北大知产,专题/北大知产/papers/专利侵权损害赔偿规则的标准、困境与重构_边仁君.md,txt/专利侵权损害赔偿规则的标准、困境与重构_边仁君.txt,data/专利侵权损害赔偿规则的标准、困境与重构_边仁君.pdf,1,
专利实用性要件之适用标准的反思与重构,黎华献,2020,《清华法学》2020年第6期,专利法,商业秘密保护与合理获取；专利侵权、救济与非实施主体,人大知产,专题/人大知产/papers/专利实用性要件之适用标准的反思与重构_黎华献.md,txt/专利实用性要件之适用标准的反思与重构_黎华献.txt,data/专利实用性要件之适用标准的反思与重构_黎华献.pdf,1,
专利非实施主体诉讼中损害赔偿规则的适用,蒋舸,2020,知识产权,专利法,标准必要专利、FRAND与禁诉令；专利侵权、救济与非实施主体；知识产权救济与损害赔偿,清华知产,papers/专利非实施主体诉讼中损害赔偿规则的适用_蒋舸.md,txt/专利非实施主体诉讼中损害赔偿规则的适用_蒋舸.txt,data/专利非实施主体诉讼中损害赔偿规则的适用_蒋舸.pdf,1,
专有出版权是邻接权吗——兼评《著作权法》第四章标题的修改,王迁,,,知识产权—著作权法,著作权作品、独创性与表达边界,华政王迁,papers/专有出版权是邻接权吗_——兼评《著作权法》第四章标题的修改_王迁.md,txt/专有出版权是邻接权吗_——兼评《著作权法》第四章标题的修改_王迁.txt,data/专有出版权是邻接权吗_——兼评《著作权法》第四章标题的修改_王迁.pdf,1,
《个人信息保护法》下网络平台的地位和责任构造,孙靖洲,2023,《中国人民大学学报》2023年第6期,数据法、个人信息与算法治理,生成式AI输出侵权与服务提供者责任；网络传播行为与平台版权责任；个人信息权利与平台治理,人大知产,专题/人大知产/papers/《个人信息保护法》下网络平台的地位和责任构造_孙靖洲.md,txt/《个人信息保护法》下网络平台的地位和责任构造_孙靖洲.txt,data/《个人信息保护法》下网络平台的地位和责任构造_孙靖洲.pdf,1,
